Entity,Code,Year,Sex ratio - Sex: all - Age: 100+ - Variant: estimates,Sex ratio - Sex: all - Age: 15 - Variant: estimates,Sex ratio - Sex: all - Age: 20 - Variant: estimates,Sex ratio - Sex: all - Age: 30 - Variant: estimates,Sex ratio - Sex: all - Age: 40 - Variant: estimates,Sex ratio - Sex: all - Age: 50 - Variant: estimates,Sex ratio - Sex: all - Age: 60 - Variant: estimates,Sex ratio - Sex: all - Age: 70 - Variant: estimates,Sex ratio - Sex: all - Age: 80 - Variant: estimates,Sex ratio - Sex: all - Age: 90 - Variant: estimates,Sex ratio - Sex: all - Age: 0 - Variant: estimates,Sex ratio - Sex: all - Age: 5 - Variant: estimates
World,OWID_WRL,1970,37.825916,103.9296,103.463554,102.90775,102.00417,94.87233,88.11449,76.23919,61.116524,48.622604,104.530525,104.45084
World,OWID_WRL,1971,37.75572,103.939865,103.19559,103.01047,102.21337,94.75291,88.13805,76.13296,61.213703,47.58845,104.577545,104.44528
World,OWID_WRL,1972,36.80493,104.08164,103.21107,103.027596,102.06122,94.2944,87.99902,76.55909,60.958004,47.129524,104.58641,104.42599
World,OWID_WRL,1973,35.642433,104.24152,103.22497,103.19406,102.103294,94.120995,88.07442,76.78688,60.31321,46.279266,104.61162,104.448425
World,OWID_WRL,1974,34.8863,104.42032,103.32254,103.347206,102.22201,94.71423,88.04449,76.89783,59.645096,45.794895,104.66773,104.49686
World,OWID_WRL,1975,34.1177,104.46066,103.388626,103.17863,101.99062,95.622894,88.22537,76.77512,59.09413,45.38034,104.72608,104.54858
World,OWID_WRL,1976,33.380955,104.37929,103.43462,103.059,102.08284,96.7257,89.18061,76.644165,59.02869,44.771812,104.76883,104.62052
World,OWID_WRL,1977,32.950367,104.34442,103.6186,103.26785,102.49457,98.122574,90.0179,76.72011,59.121044,44.450146,104.799644,104.65743
World,OWID_WRL,1978,32.671036,104.34049,103.790016,103.23589,102.747635,98.93625,89.77049,76.531906,59.369118,43.476856,104.826225,104.68653
World,OWID_WRL,1979,32.321007,104.324455,103.98974,103.03863,102.426674,99.22042,89.12719,76.389824,59.78431,42.688496,104.89117,104.73702
World,OWID_WRL,1980,31.689014,104.33231,104.0252,102.83164,102.27366,99.47331,89.1004,76.57666,59.201958,42.50184,104.9758,104.77132
World,OWID_WRL,1981,30.739756,104.3852,103.90104,102.65686,102.49359,99.61967,89.119,76.89333,58.52382,42.155693,105.018684,104.823044
World,OWID_WRL,1982,29.710316,104.38675,103.95167,102.644165,102.58433,99.542435,88.85754,76.80707,58.731922,41.49293,105.07995,104.88419
World,OWID_WRL,1983,28.731728,104.40197,104.07293,102.61762,102.7349,99.63748,88.687294,76.90412,59.033047,40.603275,105.16114,104.93659
World,OWID_WRL,1984,27.668356,104.52694,104.08724,102.6905,102.83744,99.819534,89.165344,77.024994,59.0999,39.84937,105.21731,105.01142
World,OWID_WRL,1985,26.57116,104.63172,104.05564,102.76028,102.65558,99.58623,89.940636,77.28065,58.977257,39.163143,105.285675,105.077934
World,OWID_WRL,1986,26.104631,104.61094,104.01174,102.80085,102.47601,99.6677,90.99079,78.35298,58.873997,38.764656,105.40594,105.122185
World,OWID_WRL,1987,26.299494,104.58152,103.929756,102.94762,102.59795,100.07879,92.39995,79.242615,59.02238,38.53609,105.58998,105.18825
World,OWID_WRL,1988,26.526644,104.551765,103.91232,103.018166,102.59506,100.320595,93.307434,79.56695,59.04475,38.485664,105.76767,105.24982
World,OWID_WRL,1989,26.839035,104.55668,104.17183,102.93685,102.39459,100.08201,93.624115,78.76425,58.679287,38.595398,105.91979,105.28074
World,OWID_WRL,1990,26.921925,104.59788,104.36579,102.903496,102.07142,99.9685,93.979614,78.4231,59.746815,38.055317,106.11671,105.33802
World,OWID_WRL,1991,26.40028,104.65582,104.12546,102.92368,101.820335,100.192314,94.26845,78.87856,60.05015,37.450447,106.22958,105.46297
